input_text,target_text
area woman has more than 200 products to help calm her,Local Woman Utilizes More Than 200 Products for Relaxation
gop recommends americans set aside income from one of their jobs to pay for healthcare under new bill,GOP Advises Americans to Use Income from Jobs to Fund Healthcare Under New Legislation
airline part of something called 'star alliance',Airline Participates in 'Star Alliance' Initiative
"new romney ad claims candidate does not oppose women in cases of rape, incest",Romney Advertisement Highlights Candidate's Opposition to Women in Sexual Assault Cases
workaholic dad misses only one or two accomplishments in unimpressive child's life,Workaholic Father Reflects on Child's Achievements During Workday
beijing fire department extinguishes massive five-alarm burning cloud of smog,Beijing Fire Department Addresses Concerns Over Ambient Smoke Levels
son's friend the kind who always gets nosebleeds,Son's Friend Frequently Experiences Nasal Bleeds
produce section bursts into laughter after will ferrell makes casual remark about apples,Produce Section Observes Will Ferrell's Casual Remark About Apples
horrified pope calls philadelphia humanity's greatest sin against god,Pope Expresses Concerns Over Philadelphia's Impact on Humanity
alarming report finds only 6% of earth's surface indoors,Study Reveals Only 6% of Earth's Surface Is Indoors
god announces plans to slowly wean humans off religion,God Announces Plan to Depart Humans from Religious Practices
"'whitey bulger ordered the murder of 19 people,' reports anonymous rat bastard",Anonymous Rat Bastard Reports Whitey Bulger Involved in 19 Murders
report: tv teens 15 times more likely to crack wise than real teens,Study Reveals Television Teens Have Significantly Higher Success Rates Compared to Adults
new desktop folder created for sad little creative project,New Desktop Folder Launched for Small Creative Project
dance cage recidivism rates at all-time high within american club scene,Dance Cage Recipivism Rates Reach Record Highs in American Club Scene
nutter butters 'ruined forever' for nutter butter factory worker,Nutter Butter Factory Employee Experiences Disappointment Due to Manufacturing Failures
communists now least threatening group in u.s.,Communists Become Less Threatening Group in the U.S.
hammered office depot manager thrown out of chili's,Office Depot Manager Dismissed from Chili's Restaurant
street harasser haunted by woman who got away with dignity intact,Street Harasser Faces Challenges with Woman's Wrongful Conduct
woman worried student loans could prevent her from one day owning entirely different kind of crippling debt,Woman Concerned About Impact of Student Loans on Her Financial Future
coast guard drags decoy boca raton into middle of ocean in attempt to lure away hurricane irma,Coast Guard Involves Decoy Boca Raton in Ocean Rescue Operation
scott pruitt orders epa employees to stay in office over weekend while it's being fumigated,Scott Pruitt Urges EPA Employees to Stay in Office During Fumigation Process
brief moment of lucidity called panic attack,Moment of lucidity Known as Panic Attack
new arrivals consult wise couple who have been at resort for 3 days already,Newcomers Consult Expert Couple After Three Days at Resort
"asian tsunami, hurricane katrina, kashmir earthquake battle for natural disasty award","Asian Tsunami, Hurricane Katrina, and Karachi Earthquake Face Competition for Natural Disaster Award"
some stupid thing making the rounds among your facebook friends today,Facebook Friends Observe Unusual Feature Today
"charlton heston's gun taken from his cold, dead hands",Charlton Heston's Gun Removed from His Hands Due to Cold Weather
"kushner: 'i did not collude, but i pretty much have to say that, right?'",Kushner Expresses Disappointment with Statements About Collaborative Activities
queen bun gives birth to thousands of tiny rolls,Queen Bun Produces Thousands of Rolls
report: 23% of population just sort of like that,Study Finds 23% of the Population Shares Similar Behavior
woman shows hairstylist example of haircut she wants,Woman Shows Hairstylist Example of Haircut She Wants
only remaining rhyme rapper can think of is 'cliff clavin',Rhyming Rapper Faces Challenges in Identifying Rhyme Song
"sweating, shaking pharmaceutical ceo says he can stop profiting off opioid epidemic anytime he wants",Pharmaceutical CEO Expresses Flexibility to Address Opioid Epidemic
mom can't wait for halloween episode of 'the big bang theory',Mother Anticipates Halloween Episode of 'The Big Bang Theory'
government no longer even bothering to hide halliburton favors,Government Addresses Concerns Over Halliburton Favors
frustrated obama writes letter to his congressman about need for gun control,Obama Addresses Concerns About Gun Control in Letter to Congressman
new macrowave can defrost a roast in 72 hours,New Microwave Capabilities to Defrost Roast in 72 Hours
man runs into ex-wife while wearing sandwich board,Man Interacts with Ex-Wife While Wearing Sandwich Board
"report: oh, fuck yeah, egg yolk dripping all over sandwich",Study Finds Egg Yolk Contaminated in Sandwich
only way base jumper can get thrill these days is by jumping tandem with endangered species,Base Jumper Faces Challenges in Engaging with Endangered Species
total hunk sitting over by plant,Local Resident Experiences Discomfort Due to Plant Damage
ticketed motorist pointing finger just the green light cop needed,Ticketed Motorist Uses Finger to Provide Green Light to Police Officer
automated teller has more personality than human teller,Automated Teller Displays More Personality Compared to Human Tellers
hungover energy secretary wakes up next to solar panel,Energy Secretary Faces Challenges with Solar Panel Installation
last few republican senators form roman tortoise,Recent Republican Senators Form Roman Tortoise
philadelphia goes way overboard on 9/11 security for liberty bell,Philadelphia Extends Security Measures for Liberty Bell Following 9/11 Attack
rest of kickline out sick,Kickline Employees Experience Health Issues
brewers stay after game to run the bases,Brewers Stay After Game to Run the Bases
20-something thinking about maybe doing something funny with his facial hair,20-Year-Old Considers Adapting His Facial Hair Style
wildlife cleaning volunteer stuck with the gulls again,Wildlife Cleaner Experiences Repeated Interaction with Gulls
parents drop fake treating-you-like-an-adult act half-hour into visit,Parents Introduce Fake Treating You Like an Adult During Visit
"'there's nothing to it,' secret service agent assures mar-a-lago bellhop assigned rooftop sniper duty",Secret Service Agent Confirms Mar-a-Lago Bellhop's Assignment as Rooftop Sniper
510 chuck e. cheese tickets blown in grape-soda induced frenzy,Chuck E. Cheese Tickets Affected by Grape-Soda Consumption
lazy fda approves x-ray vision pills,FDA Approves X-Ray Vision Pills
oscars officials warn only famous actors permitted to get political in acceptance speech,Oscar Officials Recommend Limiting Political Influence in Acceptance Speech
pence aide encourages candidate to try some more happy-looking scowls during debate,Pence Adviser Encourages Candidate to Practice Positive Remarks During Debate
"jcpenney ceo's severance package includes 34,000 pea coats","JCPenney CEO Receives Commemorative Benefits, Including 34,000 Pea Coats"
area man not exactly sure why doctor needed him undressed for that,Local Man Uncertain About Doctor's Need for Unrested Patient
report: afghan mineral deposits could completely revolutionize nation's system of corruption,Report Highlights Potential Impact of Afghan Mineral Deposits on Nation's Corruption System
woman bids farewell to former self before beginning new skin care regimen,Woman Reflects on Past Life Before Starting New Skin Care Routine
new study finds americans scoot over at least 10 miles per year,Study Reveals Americans Travel More Than 10 Miles a Year
man's ear violently contorted in earphone's vice grip,Man's Ear Involved in Vibration in Audible Device
mitt romney jots down ideas for concession speech while obama talks,Mitt Romney Considers Concession Speech Ideas During Obama's Talks
margin notes left on menu from previous ruby tuesday customer,Margin Notes Found on Menu from Previous Ruby Tuesday Customer
man searching for part of chicken tender thin enough to fit into plastic dipping sauce cup,Man Struggles to Find Chicken Tender enough to Fit into Plastic Dipping Sauce Cup
tale of how woman started making earrings out of scrabble tiles even more spellbinding than anticipated,Woman Discovers New Method of Making Earrings from Scrabble Tiles
pregnant jessica simpson pulls out fetus for photo op,Jessica Simpson Engages in Pregnancy Photo Op with Fetus
trump boys set up 'don and eric law place' in white house electrical room to help dad with legal problems,Trump Brothers Launch Legal Assistance Program in White House Electrical Room to Address Father's Legal Issues
obama returns from india with these gross candies for everyone,President Obama Arrives in India with New Collection of Candies
emotional wayne lapierre honors victims of background checks,Wendy LaPierre Commemorates Victims of Background Checks with Emotional Celebration
